Date,Open,High,Low,Close,Volume,Stock Splits
1992-06-17,4.851501284621833,4.994192498875416,4.423427641861083,4.5304460525512695,902000,0.0
1992-06-18,4.530449241638183,4.530449241638183,4.280739440917968,4.459103584289551,421400,0.0
1992-06-19,4.459100110190255,4.530445711953299,4.423427309308733,4.494772911071777,453400,0.0
1992-06-22,4.4947769211941075,4.4947769211941075,4.316412757654659,4.352085590362549,597200,0.0
1992-06-23,4.352082112940346,4.423427721349205,4.352082112940346,4.387754917144775,853800,0.0
1992-06-24,4.387758109195174,4.423430939351232,4.280739618726999,4.316412448883057,357600,0.0
1992-06-25,4.387754917144775,4.459100525553633,4.387754917144775,4.387754917144775,785000,0.0
1992-06-26,4.387754778708182,4.423427581787109,4.352081975629253,4.423427581787109,435000,0.0
1992-06-29,4.3877579269409175,4.459103584289551,4.352085098266602,4.459103584289551,386600,0.0
1992-06-30,4.459102948506673,4.601794242858887,4.459102948506673,4.601794242858887,884400,0.0
1992-07-01,4.494772911071777,4.530445711953299,4.459100110190255,4.494772911071777,552600,0.0
1992-07-02,4.530448595682779,4.601794242858887,4.387757301330566,4.601794242858887,1788200,0.0
1992-07-06,4.530445991023894,4.530445991023894,4.387754778708182,4.423427581787109,580400,0.0
1992-07-07,4.459103967389489,4.459103967389489,4.10237564999833,4.1737213134765625,1147000,0.0
1992-07-08,4.209395211022179,4.209395211022179,3.8883396440798097,3.9596853256225586,1192800,0.0
1992-07-09,3.959684323041867,4.1737213134765625,3.959684323041867,4.1737213134765625,2136600,0.0
1992-07-10,4.102374231606199,4.138047051011471,4.031028592795656,4.066701412200928,866200,0.0
1992-07-13,4.066701258783755,4.138046894902768,4.066701258783755,4.102374076843262,846600,0.0
1992-07-14,4.066702045243362,4.138047695159912,4.066702045243362,4.138047695159912,990000,0.0
1992-07-15,4.138048481737446,4.209394145215678,4.138048481737446,4.1737213134765625,1080400,0.0
1992-07-16,4.138046894902768,4.173719712962275,4.066701258783755,4.102374076843262,2689000,0.0
1992-07-17,4.031029986520099,4.1737213134765625,4.031029986520099,4.1737213134765625,840400,0.0
1992-07-20,3.959682953985114,4.102374231606199,3.924010134579843,4.066701412200928,1228200,0.0
1992-07-21,3.9953557733903855,4.138047051011471,3.9953557733903855,4.066701412200928,1279600,0.0
1992-07-22,3.959681923106565,4.316410024287337,3.959681923106565,4.2093915939331055,2743000,0.0
1992-07-23,4.1737213134765625,4.28073980869391,4.1737213134765625,4.1737213134765625,2203800,0.0
1992-07-24,4.13804676152077,4.2807380291594175,4.13804676152077,4.245065212249756,1404000,0.0
1992-07-27,4.2450650612513225,4.316410692532857,4.173719429969788,4.28073787689209,1308000,0.0
1992-07-28,4.2450650612513225,4.316410692532857,4.209392245610555,4.28073787689209,1134400,0.0
1992-07-29,4.2807372141692595,4.316410024287337,4.1380459736969515,4.2093915939331055,1697600,0.0
1992-07-30,4.2450650612513225,4.28073787689209,4.13804661432902,4.28073787689209,912800,0.0
1992-07-31,4.2450667885709406,4.316412448883057,4.2450667885709406,4.316412448883057,1303000,0.0
1992-08-03,4.280736504531488,4.387754917144775,4.245063700327059,4.387754917144775,1616800,0.0
1992-08-04,4.387754778708182,4.459100384866038,4.387754778708182,4.423427581787109,1457000,0.0
1992-08-05,4.423427581787109,4.459100384866038,4.423427581787109,4.423427581787109,492000,0.0
1992-08-06,4.387758423070438,4.423431255778328,4.280739924946769,4.352085590362549,1277800,0.0
1992-08-07,4.2450650612513225,4.316410692532857,4.2450650612513225,4.28073787689209,306200,0.0
1992-08-10,4.173719578430433,4.2807380291594175,4.13804676152077,4.245065212249756,593000,0.0
1992-08-11,4.245066170034737,4.245066170034737,4.138047695159912,4.138047695159912,1804800,0.0
1992-08-12,4.245066170034737,4.280738994993013,4.066702045243362,4.138047695159912,1591600,0.0
1992-08-13,4.173719429969788,4.316410692532857,4.173719429969788,4.28073787689209,1100600,0.0
1992-08-14,4.280736105782645,4.530445711953299,4.280736105782645,4.494772911071777,1476600,0.0
1992-08-17,4.423427641861083,4.566118856114666,4.423427641861083,4.5304460525512695,1461000,0.0
1992-08-18,4.56611967086792,4.673138100653887,4.530446860939264,4.56611967086792,1660200,0.0
1992-08-19,4.566118856114666,4.637464463241457,4.494773248987874,4.5304460525512695,928000,0.0
1992-08-20,4.566121419270833,4.601794242858887,4.566121419270833,4.601794242858887,370400,0.0
1992-08-21,4.566118182558002,4.744482174064174,4.566118182558002,4.7088093757629395,3771600,0.0
1992-08-24,4.530448595682779,4.673139890034993,4.530448595682779,4.601794242858887,2085000,0.0
1992-08-25,4.6374664306640625,4.673139249361478,4.530447974571815,4.6374664306640625,1168800,0.0
1992-08-26,4.601794399377954,4.673140048980713,4.566121574576575,4.673140048980713,1347000,0.0
1992-08-27,4.673139249361478,4.708812068058894,4.6374664306640625,4.6374664306640625,764400,0.0
1992-08-28,4.601794242858887,4.6374670664469395,4.566121419270833,4.601794242858887,516800,0.0
1992-08-31,4.6374670664469395,4.6374670664469395,4.601794242858887,4.601794242858887,304000,0.0
1992-09-01,4.583744049072266,4.65536504983902,4.5479335486888885,4.583744049072266,1067400,0.0
1992-09-02,4.547933608766586,4.583744109623016,4.4763126070537265,4.512123107910156,1153600,0.0
1992-09-03,4.512125541687012,4.547936061859131,4.476315021514893,4.476315021514893,474800,0.0
1992-09-04,4.512123689418885,4.512123689418885,4.40469217300415,4.40469217300415,461600,0.0
1992-09-08,4.440502678475728,4.476313183947307,4.40469217300415,4.40469217300415,693800,0.0
1992-09-09,4.440502542210376,4.547934055328369,4.440502542210376,4.547934055328369,474200,0.0
