Date,Open,High,Low,Close,Volume,Stock Splits
1991-05-14,11.685192047922234,12.058123709026136,11.436570940519633,11.809502601623535,173200,0.0
1991-05-15,12.058124320451604,12.058124320451604,10.193465920381769,10.69070816040039,186200,0.0
1991-05-16,10.690707906087239,11.436571248372395,10.317776234944661,11.187950134277344,230000,0.0
1991-05-17,11.56088155381223,12.058123771180497,11.063639336443963,11.685192108154297,75000,0.0
1991-05-20,11.685193281907301,11.809503848736103,10.939329880934496,11.312261581420898,83000,0.0
1991-05-21,11.312260219029017,12.18243408203125,11.187949667171555,12.18243408203125,139700,0.0
1991-05-22,11.809503417654135,12.30674566681852,11.560882293071943,12.058124542236328,184200,0.0
1991-05-23,12.431055370130037,12.679676477532638,11.809502601623535,11.809502601623535,135900,0.0
1991-05-24,11.809502426458865,12.18243408203125,11.809502426458865,12.18243408203125,14600,0.0
1991-05-28,12.18243420124054,12.18243420124054,11.80950254201889,11.933813095092773,16900,0.0
1991-05-29,11.933814624748607,12.679678038795396,11.933814624748607,12.555367469787598,245700,0.0
1991-05-30,12.803986841318558,13.176918496890943,12.058123530173788,12.18243408203125,253200,0.0
1991-05-31,12.431055185746173,12.431055185746173,12.058123530173788,12.18243408203125,85200,0.0
1991-06-03,12.4310554342067,12.4310554342067,11.436570999470163,11.685192108154297,102400,0.0
1991-06-04,11.933813979945231,12.058124542236328,11.560882293071943,12.058124542236328,59800,0.0
1991-06-05,12.058123709026136,12.058123709026136,11.809502601623535,11.809502601623535,48900,0.0
1991-06-06,11.809502601623535,12.058123709026136,11.809502601623535,11.809502601623535,13200,0.0
1991-06-07,12.058124829364079,12.058124829364079,11.4365720031082,11.560882568359375,32500,0.0
1991-06-10,11.4365720031082,11.809503698861727,11.063640307354671,11.560882568359375,69400,0.0
1991-06-11,11.560882568359375,11.560882568359375,11.063640307354671,11.560882568359375,26800,0.0
1991-06-12,11.436570384285668,11.436570384285668,10.690707098353993,10.93932819366455,113400,0.0
1991-06-13,10.93932848091585,10.93932848091585,10.193465175398861,10.31777572631836,59600,0.0
1991-06-14,10.690707098353993,10.93932819366455,10.317775455388157,10.93932819366455,152800,0.0
1991-06-17,10.815017700195312,11.187949345029635,10.815017700195312,10.815017700195312,20400,0.0
1991-06-18,10.815018463134766,11.436571248372395,10.815018463134766,11.187950134277344,130100,0.0
1991-06-19,11.43657112121582,11.43657112121582,11.187950009885043,11.43657112121582,27700,0.0
1991-06-20,11.436570882797241,11.933813095092773,10.939328670501709,11.933813095092773,58900,0.0
1991-06-21,11.933813095092773,12.18243420124054,11.685191988945007,11.933813095092773,48200,0.0
1991-06-24,11.6851922325466,11.933813343877379,10.939328898554264,11.43657112121582,78300,0.0
1991-06-25,10.93932814008734,11.43657032827313,10.93932814008734,11.063638687133789,48000,0.0
